ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender_0.0,Gender_1.0,Married_0.0,Married_1.0,Dependents_0.0,Dependents_1.0,Dependents_2.0,Dependents_3.0,Education_0,Education_1,Self_Employed_0.0,Self_Employed_1.0,Credit_History_0.0,Credit_History_1.0,Property_Area_0,Property_Area_1,Property_Area_2,Loan_Status
5849,0,126,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
4583,1508,128,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
3000,0,66,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
2583,2358,120,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
6000,0,141,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
5417,4196,267,360,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
2333,1516,95,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
3036,2504,158,360,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
4006,1526,168,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
12841,10968,349,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
3200,700,70,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
2500,1840,109,360,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
3073,8106,200,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
1853,2840,114,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
1299,1086,17,120,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
4950,0,125,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3596,0,100,240,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
3510,0,76,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
4887,0,133,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
2600,3500,115,342.201873,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
7660,0,104,360,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
5955,5625,315,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
2600,1911,116,360,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0
3365,1917,112,360,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
3717,2925,151,360,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
9560,0,191,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
2799,2253,122,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4226,1040,110,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
1442,0,35,360,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
3750,2083,120,360,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
4166,3369,201,360,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
3167,0,74,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
4692,0,106,360,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
3500,1667,114,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
12500,3000,320,360,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
2275,2067,126,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
1828,1330,100,342.201873,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
3667,1459,144,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4166,7210,184,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3748,1668,110,360,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
3600,0,80,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
1800,1213,47,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
2400,0,75,360,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
3941,2336,134,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4695,0,96,342.201873,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1
3410,0,88,342.201873,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
5649,0,44,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
5821,0,144,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
2645,3440,120,360,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
4000,2275,144,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
1928,1644,100,360,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
3086,0,120,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4230,0,112,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
4616,0,134,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
11500,0,286,360,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
2708,1167,97,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
2132,1591,96,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3366,2200,135,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
8080,2250,180,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3357,2859,144,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
2500,3796,120,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3029,0,99,360,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
2609,3449,165,180,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0
4945,0,126,360,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
4166,0,116,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
5726,4595,258,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0
3200,2254,126,180,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
10750,0,312,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
7100,0,125,60,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1
4300,0,136,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
3208,3066,172,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
1875,1875,97,360,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
3500,0,81,300,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4755,0,95,342.201873,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
5266,1774,187,360,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
3750,0,113,480,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
3750,4750,176,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
1000,3022,110,360,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
3167,4000,180,300,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
3333,2166,130,360,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1
3846,0,111,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
2395,0,126,360,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1378,1881,167,360,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
6000,2250,265,360,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
3988,0,50,240,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
2366,2531,136,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3333,2000,99,360,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1
2500,2118,104,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
8566,0,210,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
5695,4167,175,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
2958,2900,131,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
6250,5654,188,180,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
3273,1820,81,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
4133,0,122,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3620,0,25,120,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
6782,0,126,360,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
2484,2302,137,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
1977,997,50,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4188,0,115,180,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
1759,3541,131,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4288,3263,133,180,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
4843,3806,151,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
13650,0,126,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
4652,3583,126,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3816,754,160,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3052,1030,100,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
11417,1126,225,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
7333,0,120,360,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
3800,3600,216,360,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0
2071,754,94,480,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
5316,0,136,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
2929,2333,139,360,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
3572,4114,152,342.201873,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
7451,0,126,360,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
5050,0,118,360,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
14583,0,185,180,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3167,2283,154,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
2214,1398,85,360,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1
5568,2142,175,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
10408,0,259,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
5667,2667,180,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
4166,0,44,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
2137,8980,137,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
2957,0,81,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
4300,2014,194,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
3692,0,93,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
23803,0,370,360,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
3865,1640,126,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1
10513,3850,160,180,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
6080,2569,182,360,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
20166,0,650,480,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
2014,1929,74,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
2718,0,70,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3459,0,25,120,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
4895,0,102,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4000,7750,290,360,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
4583,0,84,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
3316,3500,88,360,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
14999,0,242,360,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
4200,1430,129,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
5042,2083,185,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0
5417,0,168,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
6950,0,175,180,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
2698,2034,122,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
11757,0,187,180,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
2330,4486,100,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
14866,0,70,360,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
1538,1425,30,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
10000,1666,225,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
4860,830,125,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
6277,0,118,360,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
2577,3750,152,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
9166,0,244,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
2281,0,113,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
3254,0,50,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
39999,0,600,180,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1
6000,0,160,360,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1
9538,0,187,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
2980,2083,120,360,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
4583,5625,255,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
1863,1041,98,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
7933,0,275,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
3089,1280,121,360,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0
4167,1447,158,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
9323,0,75,180,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3707,3166,182,342.201873,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
4583,0,112,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
2439,3333,129,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
2237,0,63,480,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
8000,0,200,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
1820,1769,95,360,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1
51763,0,700,300,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
3522,0,81,180,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
5708,5625,187,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4344,736,87,360,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
3497,1964,116,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
2045,1619,101,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
5516,11300,495,360,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
3750,0,116,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
2333,1451,102,480,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
6400,7250,180,360,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
1916,5063,67,360,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
4600,0,73,180,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
33846,0,260,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
3625,0,108,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
39147,4750,120,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
2178,0,66,300,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
2383,2138,58,360,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
674,5296,168,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
9328,0,188,180,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
4885,0,48,360,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
12000,0,164,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
6033,0,160,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
3858,0,76,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4191,0,120,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1
3125,2583,170,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
8333,3750,187,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1
1907,2365,120,342.201873,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
3416,2816,113,360,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
11000,0,83,360,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
2600,2500,90,360,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
4923,0,166,360,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
3992,0,126,180,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
3500,1083,135,360,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
3917,0,124,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
4408,0,120,360,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
3244,0,80,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3975,2531,55,360,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
2479,0,59,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3418,0,127,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
10000,0,214,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
3430,1250,128,360,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
7787,0,240,360,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
5703,0,130,360,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
3173,3021,137,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3850,983,100,360,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
150,1800,135,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
3727,1775,131,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
5000,0,72,360,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0
4283,2383,127,360,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1
2221,0,60,360,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
4009,1717,116,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
2971,2791,144,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
7578,1010,175,342.201873,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
6250,0,128,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3250,0,170,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
4735,0,138,360,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
6250,1695,210,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
4758,0,158,480,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
6400,0,200,360,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
2491,2054,104,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
3716,0,42,180,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
3189,2598,120,342.201873,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
8333,0,280,360,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3155,1779,140,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
5500,1260,170,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1
5746,0,255,360,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
3463,0,122,360,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
3812,0,112,360,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3315,0,96,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
